,Name,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11
1,X49,3.01511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764
2,X136,-0.187254011174755,-0.313964469964168,-0.313964469964168,-0.313964469964168,-0.313964469964168,-0.313964469964168,3.01293424085227,-0.313964469964168,-0.313964469964168,-0.313964469964168,-0.313964469964168
3,X156,-0.369318120742509,-0.520741661170292,-0.330117950172329,-0.520741661170292,-0.520741661170292,-0.310540533016656,-0.520741661170292,-0.520741661170292,0.927211260842569,2.72780180997434,-0.041328161033952
4,X200,-0.408637411565592,-0.414092463636941,-0.414092463636941,-0.414092463636941,-0.414092463636941,-0.406519941581949,0.92269610919823,-0.414092463636941,-0.398443642144359,-0.402389544961898,2.76375674924027
5,X204,0.175323181919571,-0.804297510233145,0.428925086339298,-0.804297510233145,-0.804297510233145,0.55557938916713,-0.804297510233145,2.48270737898802,0.132442338577394,0.246510176174306,-0.804297510233145
6,X221,0.588542671088937,-0.385775584124646,-0.385775584124646,-0.385775584124646,-0.385775584124646,-0.385775584124646,-0.385775584124646,2.88343758603287,-0.385775584124646,-0.385775584124646,-0.385775584124646
7,X237,1.34528341132341,-0.432842750169738,-0.432842750169738,-0.432842750169738,-0.432842750169738,-0.432842750169738,-0.432842750169738,2.55030134020424,-0.432842750169738,-0.432842750169738,-0.432842750169738
8,X300,3.01511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764
9,X325,0.591102655663068,-1.02212012795373,1.008729981684,-1.02212012795373,1.09259075996299,1.217302144973,-1.02212012795373,-1.02212012795373,0.520487208261392,-1.02212012795373,0.680387889224213
10,X4,-0.315719205212142,-0.315719205212142,-0.315719205212142,-0.315719205212142,-0.315719205212142,-0.170789335256253,-0.315719205212142,3.01226218216553,-0.315719205212142,-0.315719205212142,-0.315719205212142
11,X98,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,3.01511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764
14,X186,-0.669301083326249,-0.669301083326249,-0.669301083326249,-0.669301083326249,0.148856953907255,-0.091697787990408,0.371162261023467,-0.669301083326249,2.7126599735502,-0.222973932169517,0.42849794831025
15,X205,-0.512962855900573,0.55616358438437,-0.512962855900573,2.57785840900555,-0.512962855900573,-0.512962855900573,-0.512962855900573,0.969680853814664,-0.512962855900573,-0.512962855900573,-0.512962855900573
19,X286,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,3.01511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764
20,X328,-0.31953356889156,-0.31953356889156,-0.31953356889156,-0.31953356889156,-0.31953356889156,-0.134671000084974,3.01047312010902,-0.31953356889156,-0.31953356889156,-0.31953356889156,-0.31953356889156
22,X11,3.01511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764
23,X22,3.01511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764,-0.301511344577764
24,X35,1.95295256544419,-0.572696835443272,-0.572696835443272,-0.572696835443272,1.08269085848164,-0.572696835443272,-0.572696835443272,1.54593125962034,-0.572696835443272,-0.572696835443272,-0.572696835443272
25,X62,-0.436475556294134,2.63758169539613,-0.487630126118757,0.049097373386569,-0.487630126118757,-0.487630126118757,1.11131374458303,-0.487630126118757,-0.463172433265115,-0.460194193212696,-0.487630126118757
26,X86,2.69722687518305,-0.418699341251153,-0.418699341251153,-0.418699341251153,-0.418699341251153,-0.418699341251153,-0.418699341251153,-0.418699341251153,1.07106719607733,-0.418699341251153,-0.418699341251153
27,X89,2.18232619410509,-0.448237392809649,-0.448237392809649,1.85181034118175,-0.448237392809649,-0.448237392809649,-0.448237392809649,-0.448237392809649,-0.448237392809649,-0.448237392809649,-0.448237392809649
