SMILES
Cc1ccc(cc1)C(F)(F)F
OC(=O)CCCCl
CC(C)(Oc1ccc(CCNC(=O)c2ccc(Cl)cc2)cc1)C(=O)O
Nc1ccc(Cl)c(Cl)c1
C[C@@H](CCO)CCC=C(C)C
OC(C=C)C=C
O=N(=O)c1ccc(Cl)c(c1)N(=O)=O
O=CC1CCCCC1
COc1ccc(cc1)C#C
Brc1cncnc1
COc1ccc(cc1[C@]12C[C@H]3C[C@H](C[C@H](C3)C1)C2)c1ccc2cc(ccc2c1)C(=O)O
N[C@@H](CC(=O)O)C(=O)O
CCC#CCC
Cc1cccc2cc[nH]c12
CC(=O)c1cccc(C)c1
Nc1ccccc1C(=O)c1ccccc1
N#Cc1sccc1
Clc1ccccc1C(=O)c1ccccc1
CC(=C)C(=O)N
CC(=O)CC(=O)Nc1ccccc1
[S]C#[S]
CC(C)[C@@H](N)C(=O)O
COC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)OC(C)(C)C
CC(C(=O)C)C(=O)C
CCCC(=O)c1ccc(Cl)cc1
c1ncncn1
CCOC(=O)C(=C)CBr
CCCCC/C=C/C
C[Si](C)(O)c1ccccc1
C[C@@H](Br)c1ccccc1
CC1(C)N(Br)C(=O)N(Br)C1=O
CSc1ccccc1N
CNCCNC
Oc1cccc(C=O)c1
CC(C)(N)C(=O)O
CCCCO
Fc1c(F)c(C#N)c(F)c(C#N)c1F
CCCCOC(=O)C(=C)C
CCCCOc1ccc(cc1)C(=O)C
CC[C@@](C)(O)C#C
FC(F)(F)c1ccncc1
CC(=C)C(=O)C
Nc1cccnc1
C[C@@H]1[C@@H](C)C(=O)C(=C1C)C
COc1nc(Cl)nc(OC)n1
CC(C)[C@@H]1COC(=O)N1
Ic1ccc(I)cc1
CN1CCN(C)C1=O
ClC(=O)c1sccc1
ICC=C
NCc1occc1
CCOC(=O)CBr
Cc1cc(C)c(C)cc1C
OC(=O)c1cc(=O)[nH]c(c1)O
C[Si](C)(c1ccccc1)[Si](C)(C)c1ccccc1
CCCCCCO
CN(CCO)CCO
NCc1ccc(O)cc1
CCCCP(CCCC)CCCC
COC(=O)[C@@H](Cc1ccccc1)NC(=O)C
COc1ccc(SSc2ccc(OC)cc2)cc1
O=C1CCCCC1=O
ClS(=O)(=O)c1ccccc1
OC(=O)c1ccc(cc1Cl)N(=O)=O
CCO/C=C(\C)/C=O
CCOC(=O)c1ccc(I)cc1
CC(C)[C@@H](C(=O)O)c1ccc(Cl)cc1
Oc1ccc(Cl)cc1
[nH]1ccnc1c1ccccc1
COc1ccc(cc1)C(=O)C
O=N(=O)c1cccc(C=O)c1
C/C=C/C=C/C(=O)O
Nc1cc(ccc1Br)C(F)(F)F
Oc1ccc(F)cc1
Oc1cc(F)c(F)c(F)c1
ClC=C(Cl)Cl
OC(=O)c1oc(Br)cc1
ClCC#N
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1
CC(=O)c1ccc(F)cc1
Brc1ccccn1
Cl[Bi](Cl)Cl
c1ccc(cc1)/C=C(\c1ccccc1)/c1ccccc1
O=C(/C=C/c1ccccc1)/C=C/c1ccccc1
Fc1cccnc1
CC(C)I
OC[C@@H]1c2ccccc2c2ccccc12
NCc1ccncc1
Brc1ccccc1C=O
Cc1ccccc1C(=O)Cl
CCOC(=O)C=C(C)C
OC(=O)/C=C/c1cccnc1
O=C(c1sccc1)c1ccccc1
Cc1cc(Cl)ccc1C#N
COc1cc(OC)cc(C=O)c1
ClS(=O)(=O)Cl
OC1=C(O)C(=O)C(=C(O)C1=O)O
Nc1cnc2ccccc2c1
CC(=O)Oc1ccc(C=C)cc1
CCC=O
CC(C)(C)Br
[nH]1ccnc1
OCCBr
Cc1c(N)cccc1Br
CC(C)C(=O)Cl
CC(=O)c1c(O)ccc2ccccc12
Fc1ccccc1F
CCCCCCCCCCCCCCCCCC(=O)O
Clc1ccccc1C=C
OC(=O)c1c(O)ccc2ccccc12
OC(=O)c1ccc2ccccc2c1
COC(=O)Cc1cccc2ccccc12
CSc1ccc(C)cc1
Nc1c(F)cccc1C(=O)O
Oc1cccc(O)c1
CC(=O)CCC=C
Cl/C(=C\c1ccccc1)/C=O
s1cnc2ccccc12
CCOC(=O)CCBr
FC(F)(F)c1cc(Cl)c2ccccc2n1
C1[C@H]2C=C[C@@H]1C=C2
OC(=O)c1ccc(nc1)C(=O)O
OC(O)C(F)(F)F
CC1=CCCCC1
CCOC(=O)CCCCBr
Cc1cc(O)ccc1Br
OC(=O)COc1ccccc1
CC(=O)O/C=C/C=C
COP(=O)(OC)C=C
COc1cc(O)ccc1C=O
CCC(=O)CC
C[C@H]1CCCNC1
CCOC(=O)c1cccnc1C
COC(=O)N
Br/C=C\Br
N[C@@H](CCC(=O)O)C(=O)O
CC(=O)c1ccccc1I
Brc1sccc1Br
NC1CCCCCCCCCCC1
COC(=O)CCC(=O)OC
Cc1cccnc1Br
CCOC(=O)C(Br)(Br)C(=O)OCC
[O]N1C=CCC=C1
CC(=O)c1ccc(cc1)N1CCOCC1
C1CCN2CCCN=C2CC1
CNC1CCCCC1
Nc1cccc2c(N)cccc12
Br[C@@](c1ccccc1)(c1ccccc1)c1ccccc1
O=CCCCC=O
Oc1ccc(cc1)C(=O)CBr
C1CC=CC1
C[C@@H](O)C#C
o1c2ccccc2c2ccccc12
FC(F)(F)c1cccnc1
ClC/C=C/c1ccccc1
Cc1cc2c(cc1C(=C)c1ccc(cc1)C(=O)O)C(C)(C)CCC2(C)C
CC[C@@H](C)O
Cn1cnc(Cl)c1Cl
Cc1ccc(S)cc1
CC(C)[C@@H](Br)C(=O)O
NCC1CCCCC1
CCC=C(C)C
CS(=O)(=O)c1ccc(F)cc1
Clc1ccc(cc1)C(=O)CBr
OC[C@@H](c1ccccc1)c1ccccc1
BrCc1ccc(Br)cc1
CCOc1ccc(cc1)N=C=O
CCCCCCCCCC#N
CC(C)(C)O
CC[C@@H](C(=O)O)c1ccccc1
C1CCC(CC1)P(C1CCCCC1)C1CCCCC1
FC(F)(F)COC(=O)C(F)(F)F
C[Si](C)(C)C#C[Si](C)(C)C
OCCI
Brc1sc(Br)cc1
Fc1c(F)c(F)c(Br)c(F)c1F
Clc1nsc2ccccc12
CC(C)c1ccccc1N
Oc1ccc(Cl)cc1C=O
C[C@@H]1CC(=O)C=C1C
COc1ccc(cc1)C(=O)OC(=O)c1ccc(OC)cc1
CC(=O)c1ccc(cc1)N(=O)=O
O[C@H]1CS[C@H](O)CS1
Brc1ccc(I)cc1
C1Cc2ccccc2CO1
O=C1C(=O)c2ccccc2c2ccccc12
COC(=O)CC(=O)c1ccc(cc1)C(F)(F)F
Nc1cccc(c1)C#N
CC1(C)[C@H]2CC[C@]1(C)C(=O)OC2=O
COC(=O)c1ccc(cc1)C#N
Clc1sc2ccccc2n1
Fc1ccccc1C=O
NC(=O)OCc1ccccc1
COc1cccc(C)c1
c1ccc2nc3ccccc3cc2c1
Sc1cccc(Cl)c1
OC[C@@H](C(=O)O)c1ccccc1
CC(=O)c1ccc2c(Cc3ccccc23)c1
